,Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
135,,"Skopje, North Macedonia",112.13,39.69,55.68,63.22,34.53,15.93,34.30,81.98,75.54
136,,"Montevideo, Uruguay",108.87,32.43,44.27,67.24,70.16,20.02,51.78,56.60,89.08
137,,"Ahmedabad, India",106.74,61.66,71.25,70.60,25.96,8.89,39.47,72.32,0.47
138,,"Almaty, Kazakhstan",105.82,49.62,49.73,65.81,32.67,12.58,26.60,77.19,37.30
139,,"Porto Alegre, Brazil",105.72,47.52,23.00,56.18,52.79,13.57,43.95,59.55,77.08
140,,"Gurgaon, India",104.78,110.16,37.54,75.24,31.40,7.85,49.38,88.65,19.54
141,,"Beirut, Lebanon",104.16,51.84,50.82,67.72,64.27,15.05,35.21,87.37,69.39
142,,"Chiang Mai, Thailand",104.11,32.38,67.30,86.71,43.52,17.10,29.67,77.62,30.41
143,,"Mexico City, Mexico",102.97,58.17,33.90,66.86,33.59,10.03,54.11,88.02,77.00
144,,"Hong Kong, Hong Kong",94.45,81.45,79.32,67.99,79.96,36.15,42.22,69.90,29.73
145,,"Bogota, Colombia",94.42,36.69,36.36,65.23,38.32,21.08,46.03,74.14,73.33
146,,"Baku, Azerbaijan",93.46,30.62,72.53,35.88,28.59,20.06,39.77,86.69,68.09
147,,"Lviv, Ukraine",92.89,24.38,59.13,54.34,24.29,25.91,44.70,55.34,43.68
148,,"Saint Petersburg, Russia",92.34,50.13,57.72,61.32,44.40,14.66,52.14,62.39,20.22
149,,"Shanghai, China",90.89,74.16,65.41,58.96,54.42,32.62,45.92,87.26,59.15
150,,"Moscow, Russia",88.02,57.38,54.68,57.34,47.81,20.81,54.36,62.88,28.54
151,,"Kiev (Kyiv), Ukraine",87.34,29.90,49.95,53.39,27.72,23.49,37.03,71.91,49.08
152,,"Lahore, Pakistan",87.22,47.35,48.87,59.26,32.29,13.61,40.29,80.11,27.54
153,,"Lima, Peru",87.18,44.44,31.73,59.95,43.01,15.18,45.38,89.32,71.16
154,,"Singapore, Singapore",86.50,92.70,83.42,69.87,82.41,21.63,43.39,37.04,-71.47
155,,"Sao Paulo, Brazil",85.67,42.51,27.81,54.62,57.86,18.75,46.10,86.08,87.34
156,,"Tehran, Iran",85.34,39.85,44.56,52.24,42.14,15.29,55.31,87.22,71.48
157,,"Karachi, Pakistan",85.03,43.21,35.82,57.25,28.61,8.52,40.84,95.29,50.24
158,,"Cairo, Egypt",82.51,28.10,44.09,42.47,22.76,10.81,52.41,95.99,75.59
159,,"Chennai, India",81.27,79.47,55.35,74.25,26.87,12.57,44.90,78.79,-29.93
160,,"Delhi, India",80.10,77.84,39.21,65.85,29.19,14.77,52.77,92.93,23.93
161,,"Colombo, Sri Lanka",78.93,24.88,68.13,79.15,38.25,22.56,56.47,59.25,2.40
162,,"Yekaterinburg, Russia",77.86,50.08,48.80,65.17,38.75,11.74,33.33,78.02,-8.93
163,,"Beijing, China",75.20,70.92,58.35,66.09,48.92,33.75,51.45,93.30,45.36
164,,"Panama City, Panama",74.56,35.14,53.93,57.91,64.23,12.42,35.06,65.58,-6.22
165,,"Davao, Philippines",63.79,35.60,71.60,71.90,31.84,25.92,31.12,60.05,-54.27
166,,"Rio de Janeiro, Brazil",60.66,43.26,22.13,37.08,58.11,19.60,56.92,70.41,48.16
167,,"Jakarta, Indonesia",57.40,41.45,47.22,62.97,48.43,16.85,57.25,86.43,9.62
168,,"Bangkok, Thailand",57.30,49.07,51.44,82.16,49.65,19.45,50.69,72.28,-35.99
169,,"Kolkata, India",52.20,57.86,48.89,55.52,26.53,11.08,71.62,81.05,-22.75
170,,"Nairobi, Kenya",50.10,28.64,36.11,58.68,42.40,59.40,62.60,74.23,91.57
171,,"Mumbai, India",50.07,71.97,52.19,63.35,30.20,32.90,63.07,87.55,-2.61
172,,"Kuala Lumpur, Malaysia",35.05,81.35,30.41,62.07,42.85,8.94,44.62,75.57,-94.64
173,,"Ho Chi Minh City, Vietnam",32.20,32.45,41.89,52.44,43.27,21.65,30.62,94.64,-27.99
174,,"Manila, Philippines",31.41,47.80,39.08,68.31,40.43,12.19,57.59,92.51,-47.67
175,,"Dhaka, Bangladesh",24.13,38.59,30.89,38.88,37.30,14.86,62.33,95.35,-10.49
176,,"Caracas, Venezuela",0.00,2.99,13.39,35.73,38.85,254.08,49.50,77.37,91.17
