Country,Cost of living,Year
Dominican Republic,1855.9573450000003,2016
Ecuador,1650.453855,2016
Egypt,1287.5168099999999,2016
El Salvador,1383.7925,2016
Estonia,1961.89014,2016
Finland,2814.3519450000003,2016
France,2977.5313799999994,2016
Georgia,1281.368425,2016
Germany,2612.423285,2016
Greece,2174.74289,2016
Guatemala,1552.215445,2016
Hong Kong,2841.5918650000003,2016
Hungary,1637.9605999999999,2016
Iceland,3794.84426,2016
India,970.118655,2016
Indonesia,1501.35051,2016
Iran,1379.77834,2016
Iraq,1612.0063099999998,2016
Ireland,2987.25896,2016
Israel,2793.55052,2016
Italy,2725.4899649999998,2016
Jamaica,1161.718,2016
Japan,3390.1438749999998,2016
Jordan,2053.15851,2016
Kazakhstan,1205.1610099999998,2016
Kenya,1479.277125,2016
Kosovo (Disputed Territory),1015.2182400000002,2016
Kuwait,2158.810105,2016
Latvia,1858.963055,2016
Lebanon,2210.15451,2016
Lithuania,1816.251135,2016
Luxembourg,2985.4035,2016
Macedonia,1187.10106,2016
Malaysia,1506.8418649999999,2016
Malta,2468.79431,2016
Mauritius,1385.5779850000001,2016
Mexico,1244.685765,2016
Moldova,1072.6054,2016
Montenegro,1450.8145,2016
Morocco,1278.3020450000001,2016
Nepal,1140.0543549999998,2016
Netherlands,2811.6638199999998,2016
New Zealand,2913.2696800000003,2016
Nigeria,2030.519335,2016
Norway,4047.1432149999996,2016
Oman,1913.699395,2016
Pakistan,980.071805,2016
Panama,2108.1205,2016
Peru,1520.75074,2016
Philippines,1382.958105,2016
Poland,1477.235835,2016
Portugal,1862.6975549999997,2016
Puerto Rico,2474.326845,2016
Qatar,2428.33777,2016
Romania,1376.0413449999999,2016
Russia,1390.27316,2016
Saudi Arabia,1717.563995,2016
Serbia,1334.0895,2016
Singapore,2976.57447,2016
Slovakia,1772.99226,2016
Slovenia,2064.65674,2016
South Africa,1434.524375,2016
South Korea,2851.299865,2016
Spain,2162.989045,2016
Sri Lanka,1275.391815,2016
Sweden,3086.083525,2016
Switzerland,4855.287469999999,2016
Taiwan,2233.94642,2016
Thailand,1606.63227,2016
Trinidad And Tobago,2003.05483,2016
Tunisia,1118.120745,2016
Turkey,1762.8098049999999,2016
Ukraine,936.425885,2016
United Arab Emirates,2442.872225,2016
United Kingdom,3004.957595,2016
