Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,2081.2735000000002,2850.5745,2650.5465,2820.9674999999997,3006.499,2800.366,2977.5313799999994,2935.813895,3097.63557,3106.09717,3092.061535
Georgia,,,1284.13,1348.5504999999998,1268.693,1038.5714999999998,1281.368425,1183.9662799999999,1274.3712300000002,1195.2782199999997,1229.5591749999999
Germany,1866.085,2519.8959999999997,2294.246,2497.227,2630.688,2441.76,2612.423285,2637.29462,2774.85724,2708.395765,2768.3425749999997
Ghana,,,,1608.6915,,,,,274.935,,1622.284885
Greece,1950.1265,2608.0215,2253.426,2311.2790000000005,2306.3925,1946.848,2174.74289,2208.15707,2299.89062,2240.53315,2300.513245
Guatemala,,,,,,1320.9505,1552.215445,1284.69555,1435.007245,991.5156099999999,1858.8234200000002
Honduras,,,,,,,,,,1332.42677,
Hong Kong,1875.9434999999999,2080.806,2175.0145,2198.5655,2292.7659999999996,2859.0675,2841.5918650000003,2955.5366050000002,3068.72832,2937.093135,3228.817095
Hungary,1248.5585,1822.9695000000002,1550.1619999999998,1677.8755,1707.868,1513.3935000000001,1637.9605999999999,1662.769015,1776.469125,1701.75524,1722.805805
Iceland,,2891.9655000000002,3001.85,2790.5875,3483.3179999999998,3338.201,3794.84426,4741.983195,4478.872475,4047.24918,3761.0484300000003
India,647.5564999999999,880.1095,774.418,828.7570000000001,836.5115000000001,903.5559999999999,970.118655,1060.84051,1061.22956,1060.45299,1074.0718900000002
Indonesia,1071.3165,1237.439,1294.498,1282.6035000000002,1258.1374999999998,1378.77,1501.35051,1398.387935,1455.072405,1384.89201,1520.3056699999997
Iran,1110.965,1388.2,1470.3625000000002,1313.6875,1234.1095,1267.4669999999999,1379.77834,1398.4748749999999,1450.105075,1546.26877,1646.03843
Iraq,,,1620.239,1338.7635,1467.828,1716.785,1612.0063099999998,1595.5439299999998,1508.91304,1501.7897899999998,1531.015675
Ireland,2247.7029999999995,3119.15,2821.8325,3027.1095,3202.4614999999994,2817.257,2987.25896,2949.3601000000003,3135.37894,3115.17404,3173.029745
Israel,1912.08,2542.7925,2286.5350000000003,2523.111,2645.5795,2656.8125,2793.55052,3068.9454800000003,3048.9708199999995,3122.713985,3344.65792
