Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Philippines,826.5034999999998,1123.734,1253.6464999999996,1172.508,1282.13,1245.1125,1382.9581050000002,1408.962935,1339.93046,1409.9651199999998,1571.0690650000001
Poland,1075.1225,1495.5435000000002,1322.004,1465.8094999999996,1558.1705,1436.3045,1477.235835,1546.98994,1594.0976,1615.507445,1667.2549800000004
Portugal,1416.0105,1976.241,1790.6905000000004,1869.3605,1886.9175,1729.6285,1862.697555,1889.20433,2048.06505,1954.4581050000002,1957.667365
Puerto Rico,1657.4520000000002,2265.1925,2221.629,2236.2270000000003,2124.361,2391.156,2474.326845,2449.414885,2451.847655,2376.10658,2754.680250000001
Qatar,1686.8370000000002,2177.833,2085.9995,2097.76,2224.5375,2338.4365,2428.33777,2342.3646949999998,2302.17244,2625.40609,2558.4096600000007
Romania,993.3685,1360.9255,1276.8185,1353.84,1436.2485,1245.0030000000004,1376.041345,1420.2913549999996,1500.3275399999998,1480.13967,1533.59617
Russia,1409.464,1655.675,1738.422,1956.2355,1888.8165,1557.7055,1390.27316,1620.879425,1527.204875,1493.1478949999998,1510.27976
Saudi Arabia,2611.6020000000003,1796.969,2243.938,2104.6885,1515.8105,1730.9225,1717.563995,1792.7665100000002,1931.63584,1896.421205,2126.11058
Serbia,992.205,1373.5215,1288.243,1435.3795,1486.1345,1194.8484999999996,1334.0895,1345.48931,1484.516345,1476.4029999999998,1504.4071
Singapore,1711.9779999999998,2179.1145,2397.571,2550.4235,2487.711,2702.949,2976.57447,3047.36206,2758.4841100000003,2955.6801600000003,3055.107580000001
Slovakia,1252.691,1701.2935,1632.6860000000001,1675.9865,1761.225,1666.6405,1772.9922600000002,1763.8125850000001,1884.15493,1844.18371,1940.77029
Slovenia,1588.2089999999998,2131.237,1991.0420000000001,2088.7270000000008,2219.6445,1852.5705,2064.65674,2139.411415,2167.8618899999997,2194.644975,2329.63506
South Africa,1399.328,2017.7320000000002,1738.6875,1520.299,1528.4645,1557.8370000000002,1434.524375,1709.264035,1857.3669899999998,1670.93966,1476.5393550000001
South Korea,1378.1965,1851.7815,2247.2525,2464.3015,2670.848,2716.0684999999994,2851.299865,2969.468075,3215.19393,3217.109055,3017.16857
Spain,1537.793,2250.581,2067.5375,2148.9365,2228.302,2042.86,2162.989045,2188.83587,2266.48883,2193.1083550000008,2276.87354
Sweden,1976.0135,2971.449,2709.9365,3016.0655,2917.458,2733.2485,3086.083525,2924.05813,2967.53698,2837.08696,3006.2099350000003
Switzerland,2702.7845,4093.651,3717.2585,3968.471500000001,4197.1965,4906.1085,4855.287469999998,5032.008285,4863.462695,4914.739455,5082.103365
Taiwan,1018.349,1580.7605,1674.5235,1739.408,1642.4920000000002,2029.5235,2233.9464199999998,2340.033875,2179.7573850000003,2344.52642,2360.317365
Thailand,935.6765,1352.9375,1285.8615,1472.9279999999999,1419.507,1487.668,1606.6322699999998,1749.7657149999998,1829.991405,1815.91958,1821.50216
Turkey,1350.9065,1754.6745,1679.8775,1708.9835,1670.4620000000002,1718.5549999999996,1762.809805,1630.369675,1482.980275,1340.164575,1332.33478
Ukraine,1001.6765,1253.1840000000002,1256.3955,1329.7064999999998,1014.9345,947.9125,936.425885,998.24544,1142.97394,1198.7459800000001,1233.190635
United Arab Emirates,1752.095,2135.5455,2042.7365,1978.7495,2117.8465,2336.85,2442.872225,2506.67533,2296.1743100000003,2498.3970649999997,2517.7665050000005
United Kingdom,1957.8065,2791.611,2738.745,2710.732,3020.515,3067.323000000001,3004.957595,2656.6336699999997,2781.695775,2659.46115,2715.243565
United States,1746.0775,2119.8475,2244.9175,2293.0675,2348.5135,2689.5460000000007,2751.7861900000007,2780.97908,2826.855595,2849.9106699999998,2975.528
Vietnam,654.25,1075.0205,1127.8915,1119.707,1037.8165,1250.123,1339.957075,1253.9175,1416.593885,1396.65235,1417.026515
